feature,kind,n_bins,iv,n_manquants
tenure_bin,cat,3,0.2089170437778963,0
zone_plu,cat,5,0.13984544026797838,0
rot_bati,num,10,0.10840524915878708,0
nu_constructible,cat,2,0.0698215243298867,0
canopee_pct,num,10,0.052457847826953466,5556
acces_equipements,num,10,0.04686845311753655,0
permis_bin,cat,4,0.044609051781048355,0
filo_pct_prop,num,10,0.044513434357195764,46284
med_pm2_terrain_36m,num,10,0.043547515643748154,37217
surface_m2,num,10,0.0415335213544582,0
filo_dens_pop,num,10,0.040298307607392315,46284
dens_bati_secteur,num,10,0.0390268413473251,0
filo_pct_pauv,num,10,0.03189413469157475,46284
filo_snv_pp,num,10,0.029471256137659108,46284
pct_bati_secteur,num,10,0.027313775945212632,0
rot_nu,num,10,0.025389187616686727,0
med_pm2_bati_36m,num,10,0.024798034325091995,20338
permis_24m_norm,num,10,0.022569459399467716,0
ndvi_moyen,num,10,0.020119893629069324,5556
pente_moy_deg,num,10,0.019917580732939973,8211
sous_densite,cat,2,0.015579328567641902,168037
piscine,cat,2,0.013521034686014814,0
dormance_droits,num,5,0.013296826560506734,168037
sdp_residuelle_m2,num,10,0.012616279428432246,168037
tendance_pm2_bati,num,10,0.010357321967213014,51928
pv_candidat,cat,2,0.006377719583668304,0
friche,cat,2,0.0006392603534269468,0
qpv,cat,2,3.321156326909378e-05,0
window_coverage,num,1,0.0,0
