millesime,nature_mutation,mutations
2014,Adjudication,35
2014,Echange,59
2014,Expropriation,116
2014,Vente,4981
2014,Vente en l'état futur d'achèvement,319
2014,Vente terrain à bâtir,156
2015,Adjudication,41
2015,Echange,65
2015,Expropriation,34
2015,Vente,5361
2015,Vente en l'état futur d'achèvement,375
2015,Vente terrain à bâtir,93
2016,Adjudication,57
2016,Echange,52
2016,Expropriation,17
2016,Vente,6175
2016,Vente en l'état futur d'achèvement,402
2016,Vente terrain à bâtir,90
2017,Adjudication,49
2017,Echange,71
2017,Vente,6630
2017,Vente en l'état futur d'achèvement,488
2017,Vente terrain à bâtir,263
2018,Adjudication,47
2018,Echange,58
2018,Expropriation,10
2018,Vente,6451
2018,Vente en l'état futur d'achèvement,435
2018,Vente terrain à bâtir,210
2019,Adjudication,55
2019,Echange,67
2019,Expropriation,23
2019,Vente,7256
2019,Vente en l'état futur d'achèvement,457
2019,Vente terrain à bâtir,146
2020,Adjudication,47
2020,Echange,44
2020,Expropriation,22
2020,Vente,7041
2020,Vente en l'état futur d'achèvement,445
2020,Vente terrain à bâtir,162
2021,Adjudication,47
2021,Echange,42
2021,Expropriation,3
2021,Vente,9028
2021,Vente en l'état futur d'achèvement,596
2021,Vente terrain à bâtir,238
2022,Adjudication,45
2022,Echange,47
2022,Expropriation,12
2022,Vente,9131
2022,Vente en l'état futur d'achèvement,754
2022,Vente terrain à bâtir,270
2023,Adjudication,45
2023,Echange,47
2023,Expropriation,17
2023,Vente,7844
2023,Vente en l'état futur d'achèvement,636
2023,Vente terrain à bâtir,247
2024,Adjudication,39
2024,Echange,52
2024,Vente,6706
2024,Vente en l'état futur d'achèvement,526
2024,Vente terrain à bâtir,142
2025,Adjudication,14
2025,Echange,45
2025,Vente,6853
2025,Vente en l'état futur d'achèvement,174
2025,Vente terrain à bâtir,98
