strate,n_univers,score,k,taux_global,taux_topk,rr,positifs_topk,ic95_bas,ic95_haut,n_boot
hors_copro,428239,"P (Z+D, calibré)",1158,0.015166764353550237,0.04317789291882556,2.846875702180899,50,2.04624561089648,3.6713386585823224,1000
hors_copro,428239,"P (Z+D, calibré)",500,0.015166764353550237,0.048,3.164814780600462,24,1.8737872224732468,4.367551756630377,1000
hors_copro,428239,ablation Z seul,1158,0.015166764353550237,0.0768566493955095,5.067438749882,89,4.153615415683669,6.1214802736810485,1000
hors_copro,428239,ablation Z seul,500,0.015166764353550237,0.122,8.043904234026174,61,6.676162133599426,10.470048436420827,1000
hors_copro,428239,baseline rotation DVF secteur,1158,0.015166764353550237,0.016407599309153715,1.0818127668287418,19,0.6247615810286217,1.5452654869935702,1000
hors_copro,428239,baseline rotation DVF secteur,500,0.015166764353550237,0.02,1.3186728252501925,10,0.6596157337270317,2.3314606307780665,1000
hors_copro,428239,baseline V v1.3 (ties à 0/NULL seedés 974),1158,0.015166764353550237,0.007772020725388601,0.5124376263925619,9,0.22494217635199074,0.8638181697361342,1000
hors_copro,428239,baseline V v1.3 (ties à 0/NULL seedés 974),500,0.015166764353550237,0.018,1.1868055427251731,9,0.5209660804312105,2.0006028811088865,1000
copro,3424,"P (Z+D, calibré)",1158,0.290303738317757,0.5647668393782384,1.9454342636127646,654,1.8863471631719202,2.031134646354417,1000
copro,3424,"P (Z+D, calibré)",500,0.290303738317757,0.73,2.5146076458752513,365,2.370627884329202,2.6411373529041375,1000
copro,3424,ablation Z seul,1158,0.290303738317757,0.36701208981001726,1.264234804335512,425,1.2091318802425666,1.3549682279691289,1000
copro,3424,ablation Z seul,500,0.290303738317757,0.42,1.4467605633802816,210,1.303347393545866,1.5829333897986073,1000
copro,3424,baseline rotation DVF secteur,1158,0.290303738317757,0.3747841105354059,1.2910068354861466,434,1.219089658352988,1.367992599939695,1000
copro,3424,baseline rotation DVF secteur,500,0.290303738317757,0.42,1.4467605633802816,210,1.3322890377805934,1.592234671397945,1000
copro,3424,baseline V v1.3 (ties à 0/NULL seedés 974),1158,0.290303738317757,0.2849740932642487,0.9816411421899272,330,0.9493464555743005,1.0975987304459254,1000
copro,3424,baseline V v1.3 (ties à 0/NULL seedés 974),500,0.290303738317757,0.244,0.8404989939637827,122,0.8222805922332224,1.075316627085906,1000
tout,431663,"P (Z+D, calibré)",1158,0.017349182116604852,0.40846286701208984,23.54363821111493,473,21.750627449032528,25.091490548866098,1000
tout,431663,"P (Z+D, calibré)",500,0.017349182116604852,0.59,34.007366804646814,295,31.147895789824002,36.09396913034716,1000
tout,431663,ablation Z seul,1158,0.017349182116604852,0.09671848013816926,5.574814967536728,112,4.524133254483613,6.363301233916848,1000
tout,431663,ablation Z seul,500,0.017349182116604852,0.136,7.838986246494859,68,6.467532108567844,9.923552897862013,1000
tout,431663,baseline rotation DVF secteur,1158,0.017349182116604852,0.06303972366148532,3.633584755626617,73,2.8504758411499345,4.455495874356318,1000
tout,431663,baseline rotation DVF secteur,500,0.017349182116604852,0.062,3.5736554947255974,31,2.559381754480528,5.03400420955081,1000
tout,431663,baseline V v1.3 (ties à 0/NULL seedés 974),1158,0.017349182116604852,0.007772020725388601,0.44797620274848704,9,0.15129821008058747,0.7398352520545363,1000
tout,431663,baseline V v1.3 (ties à 0/NULL seedés 974),500,0.017349182116604852,0.018,1.037512885565496,9,0.35040665454664055,1.713458443758306,1000
