fold,label,n_train,taux_test,rr@1158,ic_bas,ic_haut,rr@1158_hors_copro,ic_bas_hc,ic_haut_hc,ece,ap_test,lh_permis_recent,lh_piscine
2020,label,863326,0.01639010061089322,10.959056250267002,9.605541196513567,12.250158928804742,9.411553714511335,8.090520936862411,10.69931286946332,0.0012867020225651362,0.04262074208232089,1.1656140344364239,0.3189103660659388
2021,label,1294989,0.019596305451243214,9.738891199468492,8.383117546407366,10.914744683179963,8.607587799280507,7.720052442002829,10.019149714910982,0.0032588770587040606,0.0467207138137259,1.2014344036483815,0.3055657925094062
2022,label,1726652,0.019649587757116085,9.14116045397772,8.093814049968959,10.290067355587237,8.628579081265585,7.601305694514684,9.84960318324839,0.0024296347950081496,0.04374674665448135,1.254802249367327,0.3328427187494616
2023,label,2158315,0.0172356676388757,7.365134199676862,6.436481483818333,8.741471434159104,7.299541260395945,6.078112600012167,8.437305125262544,0.0032433485842908076,0.03330279302679396,1.257808290615198,0.35985557715090716
2024,label,2589978,0.015109008647949906,8.116033205534185,6.85122395551093,9.422983900094867,7.075728589391074,5.989414090712855,8.16184829046974,0.0028791838759247585,0.029410918400284355,1.2692475034895043,0.38850632806545804
2025,label,3021641,0.015426385861192644,6.885450521986295,5.947075688723224,8.195783481053173,6.72691230741009,5.525390342613976,7.841291486356931,0.0014037236188224624,0.02872869580411992,1.2843162267304675,0.4194220034067269
2020,label_l2,863326,0.018217915364532055,21.472912900131245,19.715452714520854,22.847747655268115,6.483218386696716,5.249101625047496,7.4070293770996365,0.0015198663017029507,0.07982442339182763,1.1093695565002215,0.16768962712242735
2021,label_l2,1294989,0.02173454755214137,19.031645962264122,17.561125905654613,20.31548216685192,5.2448785708207195,4.348870129704777,6.100082479470392,0.003407030880682377,0.08418806696044635,1.124159728484329,0.1573870183672265
2022,label_l2,1726652,0.02174613066211373,20.093702329297145,18.56514380793591,21.26776504891284,5.3700169971790785,4.428849790484634,6.270116869322658,0.002453546180135914,0.08393126968025699,1.108242910319498,0.19435283544815005
2023,label_l2,2158315,0.01924417890808339,21.674005816930723,20.12268866496003,23.144553440569073,5.903394319409961,4.7376067739412715,6.840289968783857,0.0034529307579831857,0.07642143422655515,1.1306245545400366,0.20806784017472457
2024,label_l2,2589978,0.0169484065115611,23.998465638518176,22.20453734040558,25.914545724610917,6.010784729756947,4.896610645941919,7.091501429980103,0.002849180712221964,0.07178501427965875,1.1303125096378503,0.2295461581199645
2025,label_l2,3021641,0.017349182116604852,23.244987409282608,21.571544843169754,24.89153671686697,4.156438525184113,3.5314415669465173,5.438433075853153,0.001644175220023951,0.07395711996056878,1.1290492682850515,0.2430572955043927
