source,millesime_base,derniere_version_producteur,url_verif,ecart,recommandation
DVF (dvf_mutations),max date_mutation 2025-12-31 (29 565 lignes),publication 20/04/2026 couvrant jusqu'au 31/12/2025 (prochaine : octobre 2026),https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,aucun (S2 2025 couvert),À JOUR
DVF historique (dvf_mutations_histo),max 2020-12-31 (110 463),millésimes 2021-2025 portés par dvf_mutations,https://files.data.gouv.fr/geo-dvf/latest/csv/,aucun (découpage volontaire histo/courant),À JOUR
Sitadel (SDES Dido),max 2026-05-30 hors 1 outlier (50 043 ; sync 10/07),diffusion mensuelle ; dernière MAJ SDES 01/06/2026 (résultats fin avril 2026) ; ancien jeu data.gouv archivé,https://www.statistiques.developpement-durable.gouv.fr/donnees-des-permis-de-construire-et-autres-autorisations-durbanisme,aucun (base couvre mai 2026),À JOUR — anomalie 1 ligne date future = donnée source (voir FRAICHEUR.md)
BODACC procédures,max date_annonce 2026-07-02 (662 ; sync 05/07),données DILA traitées le 10/07/2026 ; MAJ quotidienne,https://bodacc-datadila.opendatasoft.com/explore/dataset/annonces-commerciales/,~8 jours,À RAFRAÎCHIR (cadence courte / cron)
Fichiers fonciers (Cerema),millésime non tracé en data_sources (id 27 sans last_sync),dernier millésime disponible : 2025,https://datafoncier.cerema.fr/fichiers-fonciers,millésime 2025 disponible,À RAFRAÎCHIR (vérifier millésime en base puis passer à 2025)
DGFiP PM (pm_proprietaires_millesimes),max millésime 2024 (461 570),millésime 2025 publié en open data,https://www.data.gouv.fr/datasets/fichiers-des-locaux-et-des-parcelles-des-personnes-morales,1 millésime,À RAFRAÎCHIR (ajouter 2025 au panel 2021-2024)
DPE ADEME (dpe_records),max date_etablissement 2026-07-03 (914 ; sync 12/07),MAJ 08/07/2026 ; fréquence hebdomadaire,https://data.ademe.fr/datasets/dpe03existant,négligeable,À JOUR
RNIC copropriétés,ingéré 10/07/2026 (2 220),MAJ quotidienne depuis avril 2026 ; dernière 11/07/2026,https://www.data.gouv.fr/fr/datasets/registre-national-dimmatriculation-des-coproprietes/,1-2 jours,À JOUR
Filosofi carreaux 200m (INSEE),millésime 2021 (14 773 carreaux),dernier millésime carroyé publié = Filosofi 2021,https://www.insee.fr/fr/statistiques/8735162?sommaire=8735243,aucun,À JOUR
Cadastre Etalab (parcels),updated_at max 2026-06-29 (431 663),édition 2026-06-01 publiée le 29/06/2026 (la plus récente),https://cadastre.data.gouv.fr/data/etalab-cadastre/,aucun,À JOUR (prochaine édition ~sept. 2026)
BD TOPO IGN (voirie/bâti),ingestions 28/06-01/07/2026 (édition avril 2026 probable),calendrier 2026 : avril (261) / juillet (262) / octobre / janvier ; data.gouv MAJ 03/07/2026,https://www.data.gouv.fr/datasets/bd-topo-r,édition juillet 2026 en diffusion,À RAFRAÎCHIR (mineur — coupler à la ré-ingestion voirie déjà prévue)
QPV (ANCT),QPV 2024 ingéré 05/07/2026,jeu MAJ 16/01/2026 ; génération QPV 2024 (métropole) + QPV 2025 pour les OUTRE-MER en vigueur au 01/01/2025,https://www.data.gouv.fr/fr/datasets/quartiers-prioritaires-de-la-politique-de-la-ville-qpv/,974 = DOM : génération applicable = QPV 2025,À VÉRIFIER/RAFRAÎCHIR (confirmer que la couche 974 est bien la génération 2025)
Cartofriches (Cerema),sync 05/07/2026,MAJ 15/06/2026 ; fréquence ~trimestrielle,https://www.data.gouv.fr/fr/datasets/sites-references-dans-cartofriches/,aucun,À JOUR
Géorisques (ICPE/cavités/MVT/SSP/aléas),ingestions 30/06-10/07/2026,ICPE MAJ quotidienne ; BDMvt & BDCavités (BRGM) en continu,https://www.georisques.gouv.fr/donnees/bases-de-donnees,quelques jours,À JOUR (rafraîchissement périodique de routine)
ABF / Monuments historiques (Mérimée),sync 05/07/2026,POP (pop.culture.gouv.fr) enrichie quotidiennement ; ATTENTION : jeu data.gouv « liste des immeubles protégés MH » figé au 29/09/2017,https://pop.culture.gouv.fr/,aucun si source = POP,À JOUR (ne PAS utiliser le jeu data.gouv 2017 obsolète)
OCS GE (IGN),ingéré 28/06/2026 (millésime 974 non tracé),millésimes 2017-2020 et 2021-2023 ; socle France entière DROM compris achevé sept. 2025 ; 3e millésime 2024-2026 en cours,https://www.ign.fr/institut/occupation-du-sol-francais,inconnu (millésime base à tracer),À VÉRIFIER (tracer le millésime 974 ; surveiller millésime 2024-2026)
RGE ALTI (IGN),pas de last_sync (source id 6),mises à jour ARRÊTÉES en 2024 ; remplacé par MNT LiDAR HD (DROM sauf Guyane couverts d'ici 2026),https://cartes.gouv.fr/aide/fr/partenaires/ign/observations-regulieres-territoire/relief/mnt-lidar-hd/,produit gelé chez le producteur,SOURCE MORTE/MIGRÉE → basculer sur MNT LiDAR HD (MNH LiDAR déjà exploité côté végétation)
