annee,type,count
2013,DP,128
2013,PA,61
2013,PC,3515
2013,PD,77
2014,DP,117
2014,PA,45
2014,PC,3367
2014,PD,75
2015,DP,172
2015,PA,48
2015,PC,3599
2015,PD,76
2016,DP,139
2016,PA,58
2016,PC,3737
2016,PD,57
2017,DP,124
2017,PA,40
2017,PC,3964
2017,PD,83
2018,DP,161
2018,PA,53
2018,PC,3489
2018,PD,59
2019,DP,234
2019,PA,86
2019,PC,3689
2019,PD,65
2020,DP,218
2020,PA,54
2020,PC,3520
2020,PD,74
2021,DP,187
2021,PA,70
2021,PC,4264
2021,PD,97
2022,DP,175
2022,PA,65
2022,PC,3753
2022,PD,97
2023,DP,232
2023,PA,80
2023,PC,3040
2023,PD,98
2024,DP,196
2024,PA,57
2024,PC,2396
2024,PD,102
2025,DP,214
2025,PA,55
2025,PC,2462
2025,PD,108
2026,DP,94
2026,PA,30
2026,PC,947
2026,PD,40
